species,DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I,PWY-7219: adenosine ribonucleotides de novo biosynthesis,PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation,ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine),VALSYN-PWY: L-valine biosynthesis,PWY-7111: pyruvate fermentation to isobutanol (engineered),PWY-6609: adenine and adenosine salvage III,PWY-5686: UMP biosynthesis,PWY-7221: guanosine ribonucleotides de novo biosynthesis,PWY-3841: folate transformations II,PWY-6737: starch degradation V,PWY-1042: glycolysis IV (plant cytosol),PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),TRNA-CHARGING-PWY: tRNA charging,PWY-6385: peptidoglycan biosynthesis III (mycobacteria),PWY-5973: cis-vaccenate biosynthesis,PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing),PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis,PWY-2942: L-lysine biosynthesis III
Bacteroides_uniformis,0.6,0.19999999999999998,0.09999999999999999,0.3,0.3,0.3,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.3,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999
Prevotella_stercorea,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475
Bacteroides_vulgatus,0.6,0.7999999999999999,0.8999999999999998,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.8999999999999998,0.8999999999999998,0.8999999999999998,0.8999999999999998,0.8999999999999998,0.8999999999999998,0.8999999999999998,0.8999999999999998,0.8999999999999998,0.7999999999999999,0.8999999999999998,0.8999999999999998,0.8999999999999998,0.8999999999999998
Bacteroides_stercoris,-0.3,-0.09999999999999999,0.19999999999999998,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.09999999999999999,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998
Bacteroides_thetaiotaomicron,0.7,0.49999999999999994,0.3,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.39999999999999997,0.3,0.3,0.3,0.3
Alistipes_finegoldii,-0.10259783520851543,0.6155870112510925,0.4103913408340617,0.05129891760425771,0.05129891760425771,0.05129891760425771,0.4103913408340617,0.4103913408340617,0.4103913408340617,0.4103913408340617,0.4103913408340617,0.4103913408340617,0.4103913408340617,0.4103913408340617,0.4103913408340617,0.05129891760425771,0.4103913408340617,0.4103913408340617,0.4103913408340617,0.4103913408340617
Alistipes_putredinis,0.3354101966249684,0.7826237921249264,0.8944271909999159,0.6708203932499368,0.6708203932499368,0.6708203932499368,0.8944271909999159,0.8944271909999159,0.8944271909999159,0.8944271909999159,0.8944271909999159,0.8944271909999159,0.8944271909999159,0.8944271909999159,0.8944271909999159,0.6708203932499368,0.8944271909999159,0.8944271909999159,0.8944271909999159,0.8944271909999159
Akkermansia_muciniphila,0.49999999999999994,0.7,0.39999999999999997,0.3,0.3,0.3,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.3,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997
Bacteroides_fragilis,0.7071067811865475,0.0,0.0,0.35355339059327373,0.35355339059327373,0.35355339059327373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35355339059327373,0.0,0.0,0.0,0.0
Faecalibacterium_prausnitzii,-0.6,-0.7999999999999999,-0.8999999999999998,-0.7999999999999999,-0.7999999999999999,-0.7999999999999999,-0.8999999999999998,-0.8999999999999998,-0.8999999999999998,-0.8999999999999998,-0.8999999999999998,-0.8999999999999998,-0.8999999999999998,-0.8999999999999998,-0.8999999999999998,-0.7999999999999999,-0.8999999999999998,-0.8999999999999998,-0.8999999999999998,-0.8999999999999998
